ISO3,Country,Degree centrality,Weighted betweenness,In-degree,Out-degree
USA,United States,1.027027027027027,0.3426073131955485,71,157
IND,India,0.9144144144144144,0.16650360768007827,32,171
THA,Thailand,0.8738738738738738,0.025070319187966247,32,162
ITA,Italy,0.8108108108108109,0.3323753617871265,48,132
TUR,Turkey,0.7837837837837838,0.043047572459337165,46,128
FRA,France,0.7477477477477478,0.02050466756349109,63,103
NLD,Netherlands,0.7297297297297297,0.263625616566793,75,87
GBR,United Kingdom,0.6756756756756757,0.013003954180424769,66,84
ARE,United Arab Emirates,0.6711711711711712,0.18729362847009906,51,98
ESP,Spain,0.6621621621621622,0.06713953772777302,46,101
DEU,Germany,0.6531531531531531,0.03544494720965309,61,84
PAK,Pakistan,0.6351351351351351,0.03552647670294729,14,127
CHN,China,0.6216216216216216,0.07064530593942359,19,119
VNM,Vietnam,0.5990990990990991,0.04066283478048184,17,116
BEL,Belgium,0.581081081081081,0.021421874363050833,54,75
CAN,Canada,0.5225225225225225,0.04086665851371734,73,43
BRA,Brazil,0.5225225225225225,0.06752680282092047,17,99
PRT,Portugal,0.509009009009009,0.022542904895846073,36,77
JPN,Japan,0.46396396396396394,0.04155965920671803,25,78
KOR,"Korea, Republic",0.44144144144144143,0.011944070767600179,26,72
POL,Poland,0.4099099099099099,0.03344747462394521,44,47
GRC,Greece,0.3918918918918919,0.014940279646161998,39,48
KHM,Cambodia,0.38288288288288286,0.058619705678529206,9,76
AUS,Australia,0.3783783783783784,0.14349190819779054,43,41
ZAF,South Africa,0.34684684684684686,0.054930496106966695,39,38
LBN,Lebanon,0.34684684684684686,0.0007337654396477926,31,46
BGR,Bulgaria,0.34684684684684686,0.006685418450124332,30,47
AUT,Austria,0.33783783783783783,0.0,39,36
DNK,Denmark,0.3333333333333333,0.019505931270637152,42,32
CHE,Switzerland,0.32432432432432434,0.0,47,25
UKR,Ukraine,0.32432432432432434,0.014675308792955852,41,31
IRL,Ireland,0.3108108108108108,0.004443357384533855,52,17
CZE,Czech Republic,0.3108108108108108,0.015551750845868493,40,29
SGP,Singapore,0.3063063063063063,0.01188292364762953,32,36
LKA,Sri Lanka,0.2972972972972973,0.013126248420366067,24,42
ROU,Romania,0.2927927927927928,0.04213036565977742,29,36
SWE,Sweden,0.2882882882882883,0.00888671476906771,44,20
