ISO3,country,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness,betweenness_weighted,strength_out,strength_in
ABW,Aruba,0.07964601769911504,0.061946902654867256,0.017699115044247787,9.146726226908233e-05,0.0,1.8639700000000001,11969.090581965
COL,Colombia,0.19911504424778761,0.08849557522123894,0.11061946902654868,0.0021813253150753135,0.004424778761061947,3679.4584743600003,241152.621261
CUW,Curacao,0.11946902654867256,0.09734513274336283,0.022123893805309734,0.0005852230088102407,0.0,78.555697,21177.005923
JOR,Jordan,0.3053097345132743,0.16814159292035397,0.13716814159292035,0.0029127416984292267,0.0043461160275319564,8198.657837,999436.60464932
VEN,Venezuela,0.1327433628318584,0.10176991150442477,0.030973451327433628,0.0004945847641331821,0.0,124.659814,744758.800449
AFG,Afghanistan,0.09292035398230089,0.061946902654867256,0.030973451327433628,8.270017814678448e-05,0.0,166.528915,476495.165804
CAN,Canada,0.8097345132743363,0.415929203539823,0.3938053097345133,0.05193823352468643,0.16776794493608652,80043.25786944,1799044.427966317
KAZ,Kazakhstan,0.23893805309734512,0.1415929203539823,0.09734513274336283,0.001887318662320888,0.015260570304818092,115962.798013,174002.87572786
NLD,Netherlands,0.9292035398230089,0.38495575221238937,0.5442477876106194,0.03597281135607685,0.19423795476892822,825636.4221788128,942649.9433063599
NZL,New Zealand,0.37168141592920356,0.2079646017699115,0.16371681415929204,0.015158115091232442,0.012055063913470993,1637.174011656,259161.77067141002
PSE,State of Palestine,0.1415929203539823,0.1415929203539823,0.0,0.0,0.0,0.0,202709.53788
SAU,Saudi Arabia,0.4557522123893805,0.22123893805309736,0.2345132743362832,0.004304973147894769,0.004365781710914454,12747.77402104,6183196.36137673
UZB,Uzbekistan,0.14601769911504425,0.10176991150442477,0.04424778761061947,0.00031950778362175306,0.0043461160275319564,1931.5355060000002,38146.532495520005
AGO,Angola,0.2610619469026549,0.20353982300884954,0.05752212389380531,0.002208701222810864,0.008888888888888889,247.16304192500002,1153668.7070350598
ATG,Antigua and Barbuda,0.10619469026548672,0.10176991150442477,0.004424778761061947,0.00012724644818501584,0.0,0.089537,1743.68806296
