ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
FRA,0.042015557118450356,France,0.06723999987903159,0.025224442760581237,4.0,2.0,2.0
TUR,0.010639175282956274,Turkey,0.033528872540457166,0.022889697257500893,27.0,9.0,18.0
IND,0.028939062388964775,India,0.04979776583940537,0.020858703450440597,11.0,4.0,7.0
ARE,0.019375313622475635,United Arab Emirates,0.03391496037644561,0.014539646753969977,16.0,8.0,8.0
CAN,0.03781220414946823,Canada,0.05193823352468643,0.014126029375218195,7.0,3.0,4.0
NAM,0.0037966999904039977,Namibia,0.016910753215255876,0.013114053224851879,54.0,16.0,38.0
NLD,0.02623468990940129,Netherlands,0.03597281135607685,0.00973812144667556,14.0,6.0,8.0
ZMB,0.0002730155838109005,Zambia,0.009470331358675456,0.009197315774864556,127.0,24.0,103.0
BHR,0.001706443173905171,Bahrain,0.00767082918273587,0.0059643860088306995,69.0,28.0,41.0
USA,0.10088293022598144,United States,0.10668805070235908,0.005805120476377643,1.0,1.0,0.0
SVK,0.00036566993780114186,Slovakia,0.005679170846968524,0.005313500909167382,114.0,35.0,79.0
PRT,0.00318524897130257,Portugal,0.007883206980888012,0.004697958009585442,58.0,27.0,31.0
LCA,0.0,Saint Lucia,0.004526732298395111,0.004526732298395111,194.0,41.0,153.0
LUX,0.00033774082799938954,Luxembourg,0.004730280469434642,0.004392539641435253,117.0,39.0,78.0
NIC,0.00021715439148485782,Nicaragua,0.004592443116945156,0.0043752887254602975,137.0,40.0,97.0
LKA,0.0016816309740213659,Sri Lanka,0.006048540162534952,0.004366909188513586,70.0,34.0,36.0
TZA,0.0010402741489116797,Tanzania,0.005336507822357019,0.004296233673445339,79.0,36.0,43.0
DNK,0.003160819756982331,Denmark,0.007228567174780854,0.004067747417798523,60.0,29.0,31.0
CPV,0.000541784021957488,Cabo Verde,0.004088836395586033,0.003547052373628545,98.0,47.0,51.0
KOR,0.012612218601216483,"Korea, Republic",0.015912306851821188,0.003300088250604705,22.0,17.0,5.0
JPN,0.003497191614230225,Japan,0.0064292800718538014,0.0029320884576235764,57.0,30.0,27.0
JAM,0.0003611604380005495,Jamaica,0.0031898730066009114,0.002828712568600362,115.0,52.0,63.0
AUT,0.0018761152786355524,Austria,0.004208329485031122,0.00233221420639557,67.0,46.0,21.0
LAO,1.989204244898808e-06,Lao PDR,0.0022277374177275895,0.0022257482134826908,191.0,62.0,129.0
AGO,0.0,Angola,0.002208701222810864,0.002208701222810864,194.0,63.0,131.0
ROU,0.002237385885202606,Romania,0.004388342281717231,0.0021509563965146253,62.0,44.0,18.0
MKD,0.0005099308829621665,North Macedonia,0.0026183558325090996,0.002108424949546933,100.0,55.0,45.0
MWI,0.0002460129893249728,Malawi,0.0021038935594799198,0.001857880570154947,132.0,66.0,66.0
OMN,0.000686812144193436,Oman,0.0024873638601672307,0.0018005517159737946,91.0,58.0,33.0
HND,0.00037441839822162284,Honduras,0.0021627819048540753,0.0017883635066324524,112.0,65.0,47.0
PAN,0.0013758947096481745,Panama,0.0031374113029584583,0.0017615165933102838,74.0,53.0,21.0
BRA,0.012511954856365142,Brazil,0.014134052862463397,0.0016220980060982545,24.0,20.0,4.0
LTU,0.0005787870901178147,Lithuania,0.0020827012263156205,0.001503914136197806,95.0,67.0,28.0
CZE,0.004901815383126851,Czech Republic,0.006370379775576025,0.0014685643924491742,48.0,32.0,16.0
JOR,0.0015120748439476097,Jordan,0.0029127416984292267,0.001400666854481617,72.0,54.0,18.0
MNE,3.805428873857242e-05,Montenegro,0.0013291237057069993,0.001291069416968427,171.0,79.0,92.0
CHL,0.0005024655933626227,Chile,0.0017030496669713058,0.0012005840736086832,101.0,74.0,27.0
KAZ,0.0008614036744570917,Kazakhstan,0.001887318662320888,0.0010259149878637964,83.0,70.0,13.0
VNM,0.01085721105689448,Vietnam,0.011698436366278923,0.0008412253093844427,26.0,22.0,4.0
SWZ,1.2779203369748805e-05,Eswatini,0.0008449817692815709,0.0008322025659118222,180.0,89.0,91.0
GHA,0.013196199252162533,Ghana,0.01395179177131471,0.0007555925191521772,21.0,21.0,0.0
CRI,0.0004171014803391942,Costa Rica,0.001126268642641637,0.0007091671623024429,107.0,82.0,25.0
BIH,0.00030766858161633423,Bosnia Herzegovina,0.000992562672477783,0.0006848940908614489,121.0,86.0,35.0
MDV,0.0004122403027624384,Maldives,0.0009417604457627976,0.0005295201430003592,108.0,88.0,20.0
PNG,0.004429174053882338,Papua New Guinea,0.004928218182392908,0.0004990441285105699,51.0,37.0,14.0
LVA,0.00011598177397469962,Latvia,0.0006048794019564294,0.0004888976279817298,150.0,97.0,53.0
SVN,0.0007138181120035518,Slovenia,0.001195831525539179,0.0004820134135356273,88.0,81.0,7.0
CMR,0.001959351597034124,Cameroon,0.002430547705280914,0.0004711961082467897,65.0,59.0,6.0
MYS,0.0013874707905394271,Malaysia,0.0018566743092119672,0.0004692035186725401,73.0,71.0,2.0
PRY,0.00018959999183852276,Paraguay,0.0006437075887033851,0.0004541075968648623,138.0,95.0,43.0
COD,0.00024164605752492881,"Congo, Democratic Republic",0.0006528665470851152,0.00041122048956018635,133.0,93.0,40.0
NPL,3.185799831724529e-05,Nepal,0.0003496217307591722,0.0003177637324419269,174.0,114.0,60.0
MLT,6.403188901114932e-05,Malta,0.00037940978690661353,0.0003153778978954642,162.0,112.0,50.0
CUW,0.0002832382672105366,Curacao,0.0005852230088102407,0.0003019847415997041,125.0,98.0,27.0
SEN,0.0003719440073400423,Senegal,0.0006469643721936596,0.00027502036485361727,113.0,94.0,19.0
ETH,0.004239611559512661,Ethiopia,0.00450245922509965,0.00026284766558698925,52.0,43.0,9.0
IRQ,6.784245604905959e-05,Iraq,0.0003028033815607626,0.00023496092551170302,160.0,117.0,43.0
UZB,8.732675673794926e-05,Uzbekistan,0.00031950778362175306,0.0002321810268838038,155.0,116.0,39.0
FIN,0.0005708448573956353,Finland,0.00075853215007021,0.00018768729267457465,96.0,90.0,6.0
VEN,0.0003100948847043491,Venezuela,0.0004945847641331821,0.00018448987942883306,120.0,102.0,18.0
