ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
CAN,0.012507374631268437,Canada,0.16776794493608652,0.15526057030481807,41.0,4.0,37.0
JPN,0.014709931170108161,Japan,0.10289085545722713,0.08818092428711898,34.0,6.0,28.0
NLD,0.11124877089478859,Netherlands,0.19423795476892822,0.08298918387413963,8.0,3.0,5.0
IRN,0.004405113077679449,Iran,0.079960668633235,0.07555555555555556,64.0,13.0,51.0
VNM,0.010167158308751229,Vietnam,0.07659783677482793,0.0664306784660767,43.0,14.0,29.0
CHN,0.04247787610619469,China,0.10731563421828909,0.0648377581120944,20.0,5.0,15.0
ROU,0.008888888888888889,Romania,0.06116027531956735,0.05227138643067846,50.0,17.0,33.0
ITA,0.23455260570304817,Italy,0.2864896755162242,0.051937069813176,3.0,2.0,1.0
GTM,0.0,Guatemala,0.0512291052114061,0.0512291052114061,104.0,20.0,84.0
USA,0.5663126843657817,United States,0.6131563421828908,0.046843657817109086,1.0,1.0,0.0
MOZ,0.026686332350049163,Mozambique,0.07091445427728614,0.04422812192723698,23.0,15.0,8.0
SGP,0.03712881022615536,Singapore,0.08119960668633235,0.04407079646017699,22.0,10.0,12.0
TUR,0.009380530973451328,Turkey,0.05126843657817109,0.04188790560471976,48.0,19.0,29.0
CMR,0.004424778761061947,Cameroon,0.042025565388397246,0.0376007866273353,62.0,23.0,39.0
GAB,0.0,Gabon,0.03341199606686333,0.03341199606686333,104.0,25.0,79.0
GRC,0.005565388397246804,Greece,0.03236971484759096,0.026804326450344154,59.0,26.0,33.0
ESP,0.02446411012782694,Spain,0.051150442477876104,0.026686332350049163,24.0,21.0,3.0
BLZ,0.0,Belize,0.02151425762045231,0.02151425762045231,104.0,34.0,70.0
TGO,0.004405113077679449,Togo,0.0256047197640118,0.02119960668633235,64.0,31.0,33.0
BRA,0.06389380530973451,Brazil,0.08448377581120944,0.02058997050147493,13.0,9.0,4.0
TZA,0.009931170108161259,Tanzania,0.028751229105211405,0.018820058997050144,45.0,29.0,16.0
HUN,0.004129793510324484,Hungary,0.021789577187807278,0.017659783677482794,79.0,33.0,46.0
