ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
TUR,0.6017699115044248,Turkey,0.9778761061946902,0.3761061946902654,19.0,6.0,13.0
PRT,0.3805309734513274,Portugal,0.6814159292035398,0.30088495575221236,36.0,19.0,17.0
KHM,0.3805309734513274,Cambodia,0.5663716814159292,0.18584070796460178,36.0,23.0,13.0
LUX,0.15486725663716813,Luxembourg,0.3407079646017699,0.18584070796460175,102.0,55.0,47.0
RUS,0.3938053097345133,Russian Federation,0.5619469026548672,0.16814159292035397,35.0,25.0,10.0
PRY,0.1504424778761062,Paraguay,0.3185840707964602,0.16814159292035397,108.0,59.0,49.0
FRA,0.8672566371681416,France,1.0176991150442478,0.1504424778761062,8.0,4.0,4.0
DNK,0.45132743362831856,Denmark,0.5973451327433629,0.1460176991150443,28.0,21.0,7.0
IND,0.9601769911504424,India,1.1017699115044248,0.1415929203539824,5.0,2.0,3.0
NLD,0.7876106194690266,Netherlands,0.9292035398230089,0.1415929203539823,11.0,9.0,2.0
IRL,0.3008849557522124,Ireland,0.4424778761061947,0.1415929203539823,50.0,34.0,16.0
SVN,0.23893805309734512,Slovenia,0.3805309734513274,0.1415929203539823,65.0,46.0,19.0
TZA,0.18584070796460178,Tanzania,0.3274336283185841,0.1415929203539823,89.0,56.0,33.0
BGR,0.3053097345132743,Bulgaria,0.4424778761061947,0.1371681415929204,49.0,34.0,15.0
ESP,0.7389380530973452,Spain,0.8761061946902655,0.13716814159292035,13.0,11.0,2.0
MMR,0.3008849557522124,Myanmar,0.43805309734513276,0.13716814159292035,50.0,38.0,12.0
SVK,0.23893805309734512,Slovakia,0.3672566371681416,0.1283185840707965,65.0,49.0,16.0
ARE,0.747787610619469,United Arab Emirates,0.8716814159292036,0.1238938053097346,12.0,12.0,0.0
SAU,0.33628318584070793,Saudi Arabia,0.4557522123893805,0.11946902654867259,44.0,33.0,11.0
BHR,0.3185840707964602,Bahrain,0.43805309734513276,0.11946902654867259,48.0,38.0,10.0
BEL,0.6991150442477876,Belgium,0.8185840707964601,0.11946902654867253,14.0,13.0,1.0
AUT,0.4026548672566372,Austria,0.5176991150442478,0.11504424778761063,34.0,30.0,4.0
CHL,0.16371681415929204,Chile,0.27876106194690264,0.1150442477876106,99.0,71.0,28.0
CAN,0.6991150442477876,Canada,0.8097345132743363,0.11061946902654873,14.0,14.0,0.0
BRA,0.6283185840707964,Brazil,0.7389380530973452,0.11061946902654873,18.0,17.0,1.0
LTU,0.252212389380531,Lithuania,0.36283185840707965,0.11061946902654868,59.0,50.0,9.0
FIN,0.2345132743362832,Finland,0.34513274336283184,0.11061946902654865,68.0,54.0,14.0
IRQ,0.11946902654867256,Iraq,0.22123893805309736,0.1017699115044248,131.0,87.0,44.0
CZE,0.3008849557522124,Czech Republic,0.4026548672566372,0.10176991150442477,50.0,42.0,8.0
MNE,0.12831858407079647,Montenegro,0.23008849557522124,0.10176991150442477,124.0,83.0,41.0
OMN,0.23008849557522124,Oman,0.3274336283185841,0.09734513274336284,69.0,56.0,13.0
MWI,0.13716814159292035,Malawi,0.2345132743362832,0.09734513274336284,118.0,82.0,36.0
POL,0.4424778761061947,Poland,0.5398230088495575,0.09734513274336276,30.0,27.0,3.0
