ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
LUX,0.11061946902654868,Luxembourg,0.24778761061946902,0.13716814159292035,100.0,23.0,77.0
SVK,0.1327433628318584,Slovakia,0.252212389380531,0.11946902654867259,74.0,20.0,54.0
ARE,0.22123893805309736,United Arab Emirates,0.3407079646017699,0.11946902654867253,19.0,7.0,12.0
IND,0.1592920353982301,India,0.2654867256637168,0.1061946902654867,49.0,16.0,33.0
NLD,0.2831858407079646,Netherlands,0.38495575221238937,0.10176991150442477,8.0,4.0,4.0
NAM,0.07079646017699115,Namibia,0.17256637168141592,0.10176991150442477,145.0,54.0,91.0
USA,0.33185840707964603,United States,0.42920353982300885,0.09734513274336282,2.0,1.0,1.0
BHR,0.16371681415929204,Bahrain,0.252212389380531,0.08849557522123894,44.0,20.0,24.0
PRT,0.13716814159292035,Portugal,0.22123893805309736,0.08407079646017701,69.0,30.0,39.0
CHL,0.10619469026548672,Chile,0.1902654867256637,0.08407079646017698,104.0,44.0,60.0
CAN,0.33185840707964603,Canada,0.415929203539823,0.08407079646017696,2.0,2.0,0.0
TUR,0.19911504424778761,Turkey,0.27876106194690264,0.07964601769911503,25.0,13.0,12.0
FRA,0.33628318584070793,France,0.41150442477876104,0.0752212389380531,1.0,3.0,-2.0
MDV,0.1504424778761062,Maldives,0.22123893805309736,0.07079646017699115,57.0,30.0,27.0
IRL,0.22566371681415928,Ireland,0.2920353982300885,0.06637168141592922,17.0,11.0,6.0
CHE,0.24336283185840707,Switzerland,0.30973451327433627,0.0663716814159292,11.0,9.0,2.0
CYP,0.16814159292035397,Cyprus,0.23008849557522124,0.06194690265486727,39.0,27.0,12.0
SAU,0.1592920353982301,Saudi Arabia,0.22123893805309736,0.06194690265486727,49.0,30.0,19.0
ISL,0.13716814159292035,Iceland,0.19911504424778761,0.06194690265486727,69.0,41.0,28.0
CZE,0.16371681415929204,Czech Republic,0.22566371681415928,0.06194690265486724,44.0,28.0,16.0
MNE,0.10619469026548672,Montenegro,0.16814159292035397,0.06194690265486724,104.0,57.0,47.0
BEL,0.26991150442477874,Belgium,0.3274336283185841,0.057522123893805344,10.0,8.0,2.0
NOR,0.19911504424778761,Norway,0.25663716814159293,0.057522123893805316,25.0,17.0,8.0
UKR,0.16814159292035397,Ukraine,0.22566371681415928,0.057522123893805316,39.0,28.0,11.0
RUS,0.16371681415929204,Russian Federation,0.22123893805309736,0.057522123893805316,44.0,30.0,14.0
FIN,0.15486725663716813,Finland,0.21238938053097345,0.057522123893805316,53.0,36.0,17.0
AZE,0.11946902654867256,Azerbaijan,0.17699115044247787,0.057522123893805316,90.0,49.0,41.0
ISR,0.11946902654867256,Israel,0.17699115044247787,0.057522123893805316,90.0,49.0,41.0
IRQ,0.09292035398230089,Iraq,0.1504424778761062,0.057522123893805316,123.0,73.0,50.0
MNG,0.05752212389380531,Mongolia,0.11504424778761062,0.05752212389380531,163.0,103.0,60.0
JPN,0.09734513274336283,Japan,0.15486725663716813,0.0575221238938053,116.0,70.0,46.0
SLE,0.061946902654867256,Sierra Leone,0.11946902654867256,0.0575221238938053,156.0,98.0,58.0
AUT,0.22566371681415928,Austria,0.27876106194690264,0.05309734513274336,17.0,13.0,4.0
COD,0.10619469026548672,"Congo, Democratic Republic",0.1592920353982301,0.05309734513274336,104.0,65.0,39.0
MLT,0.10619469026548672,Malta,0.1592920353982301,0.05309734513274336,104.0,65.0,39.0
UZB,0.048672566371681415,Uzbekistan,0.10176991150442477,0.053097345132743355,176.0,118.0,58.0
DEU,0.3230088495575221,Germany,0.37168141592920356,0.048672566371681436,4.0,5.0,-1.0
VNM,0.09734513274336283,Vietnam,0.14601769911504425,0.04867256637168142,116.0,77.0,39.0
STP,0.0663716814159292,Sao Tome and Principe,0.11504424778761062,0.04867256637168142,152.0,103.0,49.0
SVN,0.1504424778761062,Slovenia,0.19911504424778761,0.04867256637168141,57.0,41.0,16.0
GBR,0.3230088495575221,United Kingdom,0.3672566371681416,0.04424778761061948,4.0,6.0,-2.0
ESP,0.23893805309734512,Spain,0.2831858407079646,0.04424778761061948,12.0,12.0,0.0
MAR,0.10176991150442477,Morocco,0.14601769911504425,0.04424778761061948,111.0,77.0,34.0
GTM,0.061946902654867256,Guatemala,0.10619469026548672,0.04424778761061947,156.0,113.0,43.0
HUN,0.12389380530973451,Hungary,0.16814159292035397,0.044247787610619455,84.0,57.0,27.0
SWE,0.21238938053097345,Sweden,0.252212389380531,0.03982300884955753,23.0,20.0,3.0
CUW,0.05752212389380531,Curacao,0.09734513274336283,0.03982300884955752,163.0,124.0,39.0
URY,0.030973451327433628,Uruguay,0.07079646017699115,0.03982300884955752,192.0,158.0,34.0
ARM,0.09734513274336283,Armenia,0.13716814159292035,0.039823008849557515,116.0,85.0,31.0
LKA,0.12831858407079647,Sri Lanka,0.16814159292035397,0.0398230088495575,78.0,57.0,21.0
BHS,0.05752212389380531,Bahamas,0.09292035398230089,0.03539823008849558,163.0,127.0,36.0
GRC,0.18141592920353983,Greece,0.2168141592920354,0.035398230088495575,33.0,34.0,-1.0
BGR,0.1504424778761062,Bulgaria,0.18584070796460178,0.035398230088495575,57.0,45.0,12.0
EST,0.14601769911504425,Estonia,0.18141592920353983,0.035398230088495575,62.0,47.0,15.0
CUB,0.08407079646017698,Cuba,0.11946902654867256,0.035398230088495575,131.0,98.0,33.0
MWI,0.08407079646017698,Malawi,0.11946902654867256,0.035398230088495575,131.0,98.0,33.0
ATG,0.0663716814159292,Antigua and Barbuda,0.10176991150442477,0.035398230088495575,152.0,118.0,34.0
LAO,0.022123893805309734,Lao PDR,0.05752212389380531,0.035398230088495575,200.0,174.0,26.0
MYS,0.11946902654867256,Malaysia,0.1504424778761062,0.03097345132743365,90.0,73.0,17.0
IDN,0.07964601769911504,Indonesia,0.11061946902654868,0.030973451327433635,138.0,110.0,28.0
NPL,0.048672566371681415,Nepal,0.07964601769911504,0.030973451327433628,176.0,148.0,28.0
TLS,0.048672566371681415,Timor-Leste,0.07964601769911504,0.030973451327433628,176.0,148.0,28.0
MHL,0.03982300884955752,Marshall Islands,0.07079646017699115,0.030973451327433628,185.0,158.0,27.0
BLZ,0.030973451327433628,Belize,0.061946902654867256,0.030973451327433628,192.0,169.0,23.0
CYM,0.030973451327433628,Cayman Islands,0.061946902654867256,0.030973451327433628,192.0,169.0,23.0
BMU,0.02654867256637168,Bermuda,0.05752212389380531,0.030973451327433628,197.0,174.0,23.0
