ISO3,score_2012,country,score_2022,delta,rank_2012,rank_2022,rank_delta
TUR,0.4026548672566372,Turkey,0.6991150442477876,0.2964601769911504,19.0,6.0,13.0
PRT,0.24336283185840707,Portugal,0.46017699115044247,0.2168141592920354,33.0,20.0,13.0
PRY,0.09734513274336283,Paraguay,0.2654867256637168,0.16814159292035397,63.0,34.0,29.0
KHM,0.3185840707964602,Cambodia,0.4823008849557522,0.163716814159292,26.0,19.0,7.0
MMR,0.24336283185840707,Myanmar,0.3938053097345133,0.1504424778761062,33.0,21.0,12.0
MOZ,0.035398230088495575,Mozambique,0.16371681415929204,0.12831858407079647,113.0,56.0,57.0
TZA,0.0663716814159292,Tanzania,0.1902654867256637,0.12389380530973451,83.0,48.0,35.0
DNK,0.22123893805309736,Denmark,0.3407079646017699,0.11946902654867253,40.0,24.0,16.0
RUS,0.23008849557522124,Russian Federation,0.3407079646017699,0.11061946902654865,37.0,24.0,13.0
BGR,0.15486725663716813,Bulgaria,0.25663716814159293,0.1017699115044248,48.0,35.0,13.0
BRA,0.5132743362831859,Brazil,0.6150442477876106,0.10176991150442471,12.0,9.0,3.0
ESP,0.5,Spain,0.5929203539823009,0.09292035398230092,15.0,11.0,4.0
SVN,0.08849557522123894,Slovenia,0.18141592920353983,0.09292035398230089,65.0,53.0,12.0
LTU,0.10176991150442477,Lithuania,0.18584070796460178,0.08407079646017701,60.0,50.0,10.0
IRN,0.16371681415929204,Iran,0.24778761061946902,0.08407079646017698,46.0,38.0,8.0
OMN,0.10619469026548672,Oman,0.18584070796460178,0.07964601769911506,57.0,50.0,7.0
GUY,0.14601769911504425,Guyana,0.22566371681415928,0.07964601769911503,52.0,42.0,10.0
POL,0.22566371681415928,Poland,0.3008849557522124,0.07522123893805313,39.0,31.0,8.0
FRA,0.5309734513274336,France,0.6061946902654867,0.0752212389380531,10.0,10.0,0.0
IRL,0.0752212389380531,Ireland,0.1504424778761062,0.0752212389380531,72.0,60.0,12.0
ECU,0.04424778761061947,Ecuador,0.11061946902654868,0.06637168141592921,99.0,74.0,25.0
MWI,0.05309734513274336,Malawi,0.11504424778761062,0.061946902654867256,93.0,71.0,22.0
BEL,0.42920353982300885,Belgium,0.4911504424778761,0.06194690265486724,18.0,18.0,0.0
AUT,0.17699115044247787,Austria,0.23893805309734512,0.06194690265486724,43.0,40.0,3.0
SAU,0.17699115044247787,Saudi Arabia,0.2345132743362832,0.057522123893805316,43.0,41.0,2.0
BGD,0.16371681415929204,Bangladesh,0.22123893805309736,0.057522123893805316,46.0,43.0,3.0
COL,0.05309734513274336,Colombia,0.11061946902654868,0.057522123893805316,93.0,74.0,19.0
AGO,0.0,Angola,0.05752212389380531,0.05752212389380531,200.0,97.0,103.0
AUS,0.24778761061946902,Australia,0.3053097345132743,0.05752212389380529,32.0,30.0,2.0
KOR,0.45132743362831856,"Korea, Republic",0.504424778761062,0.05309734513274339,16.0,17.0,-1.0
IDN,0.2654867256637168,Indonesia,0.3185840707964602,0.05309734513274339,30.0,27.0,3.0
